key,model,horizon,origin,target,n_train,actual,predicted,error
google,mean,1,2023-11,2023-12,10,-1.4545623322488934,-1.3094930270059244,-0.14506930524296902
google,drift,1,2023-11,2023-12,10,-1.4545623322488934,-2.0644364207746637,0.6098740885257703
google,ses,1,2023-11,2023-12,10,-1.4545623322488934,-1.820193756993747,0.36563142474485355
google,holt_damped,1,2023-11,2023-12,10,-1.4545623322488934,-1.8730904672789856,0.41852813503009223
google,loglinear,1,2023-11,2023-12,10,-1.4545623322488934,-1.6677435654253996,0.21318123317650617
google,ar1,1,2023-11,2023-12,10,-1.4545623322488934,-1.7221354787060197,0.26757314645712627
google,naive,2,2023-06,2023-08,5,-1.4307461236907244,-1.3068301897656438,-0.1239159339250806
google,mean,2,2023-06,2023-08,5,-1.4307461236907244,-1.1478338747120262,-0.28291224897869816
google,drift,2,2023-06,2023-08,5,-1.4307461236907244,-1.2899530791428377,-0.14079304454788666
google,ses,2,2023-06,2023-08,5,-1.4307461236907244,-1.3007072930163188,-0.13003883067440558
google,holt_damped,2,2023-06,2023-08,5,-1.4307461236907244,-1.3010446774690962,-0.12970144622162816
google,loglinear,2,2023-06,2023-08,5,-1.4307461236907244,-1.1229284751199577,-0.30781764857076666
google,ar1,2,2023-06,2023-08,5,-1.4307461236907244,-1.1479671204964423,-0.28277900319428206
google,naive,2,2023-07,2023-09,6,-1.4434527749598391,-1.084818966535774,-0.3586338084240652
google,mean,2,2023-07,2023-09,6,-1.4434527749598391,-1.1373313900159843,-0.3061213849438549
google,drift,2,2023-07,2023-09,6,-1.4434527749598391,-0.9967509666068123,-0.44670180835302686
google,ses,2,2023-07,2023-09,6,-1.4434527749598391,-1.1500891575909407,-0.2933636173688985
google,holt_damped,2,2023-07,2023-09,6,-1.4434527749598391,-1.142785278668499,-0.30066749629134004
google,loglinear,2,2023-07,2023-09,6,-1.4434527749598391,-1.086171062133287,-0.3572817128265522
google,ar1,2,2023-07,2023-09,6,-1.4434527749598391,-1.137191767612506,-0.3062610073473331
google,naive,2,2023-08,2023-10,7,-1.3973441973064755,-1.4307461236907244,0.03340192638424888
google,mean,2,2023-08,2023-10,7,-1.3973441973064755,-1.1792477805409471,-0.21809641676552838
google,drift,2,2023-08,2023-10,7,-1.3973441973064755,-1.4540955972244574,0.05675139991798184
google,ses,2,2023-08,2023-10,7,-1.3973441973064755,-1.245329737879887,-0.15201445942658842
google,holt_damped,2,2023-08,2023-10,7,-1.3973441973064755,-1.2314217325747359,-0.16592246473173966
google,loglinear,2,2023-08,2023-10,7,-1.3973441973064755,-1.2775630357740824,-0.11978116153239315
google,ar1,2,2023-08,2023-10,7,-1.3973441973064755,-1.1815230298627923,-0.21582116744368318
google,naive,2,2023-09,2023-11,8,-1.9993988340062996,-1.4434527749598391,-0.5559460590464604
google,mean,2,2023-09,2023-11,8,-1.9993988340062996,-1.2122734048433086,-0.787125429162991
google,drift,2,2023-09,2023-11,8,-1.9993988340062996,-1.4670602271191342,-0.5323386068871654
google,ses,2,2023-09,2023-11,8,-1.9993988340062996,-1.392294311028078,-0.6071045229782215
google,holt_damped,2,2023-09,2023-11,8,-1.9993988340062996,-1.4063619041531972,-0.5930369298531024
google,loglinear,2,2023-09,2023-11,8,-1.9993988340062996,-1.3954428097573137,-0.6039560242489859
google,ar1,2,2023-09,2023-11,8,-1.9993988340062996,-1.223602099040095,-0.7757967349662045
google,naive,2,2023-10,2023-12,9,-1.4545623322488934,-1.3973441973064755,-0.0572181349424179
google,mean,2,2023-10,2023-12,9,-1.4545623322488934,-1.2328368262281049,-0.22172550602078855
google,drift,2,2023-10,2023-12,9,-1.4545623322488934,-1.4080822486362126,-0.046480083612680856
google,ses,2,2023-10,2023-12,9,-1.4545623322488934,-1.3953242427951165,-0.059238089453776954
google,holt_damped,2,2023-10,2023-12,9,-1.4545623322488934,-1.408671242580787,-0.0458910896681064
google,loglinear,2,2023-10,2023-12,9,-1.4545623322488934,-1.444404851466477,-0.010157480782416517
google,ar1,2,2023-10,2023-12,9,-1.4545623322488934,-1.2506615468088027,-0.20390078544009071
google,naive,3,2023-06,2023-09,5,-1.4434527749598391,-1.3068301897656438,-0.13662258519419535
google,mean,3,2023-06,2023-09,5,-1.4434527749598391,-1.1478338747120262,-0.2956189002478129
google,drift,3,2023-06,2023-09,5,-1.4434527749598391,-1.2815145238314347,-0.16193825112840443
google,ses,3,2023-06,2023-09,5,-1.4434527749598391,-1.3007072930163188,-0.14274548194352032
google,holt_damped,3,2023-06,2023-09,5,-1.4434527749598391,-1.3039452627971575,-0.13950751216268165
google,loglinear,3,2023-06,2023-09,5,-1.4434527749598391,-1.1169986180742273,-0.32645415688561186
google,ar1,3,2023-06,2023-09,5,-1.4434527749598391,-1.1478377320410695,-0.2956150429187696
google,naive,3,2023-07,2023-10,6,-1.3973441973064755,-1.084818966535774,-0.3125252307707016
google,mean,3,2023-07,2023-10,6,-1.3973441973064755,-1.1373313900159843,-0.26001280729049125
